"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","16.04.2021 10:00 - 16.04.2021 11:00 (CET)","558","n/e","n/e","138","204","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","256","86","248","161"
"BZN|DK2","16.04.2021 11:00 - 16.04.2021 12:00 (CET)","531","n/e","n/e","119","194","47","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","301","87","238","203"
"BZN|DK2","16.04.2021 12:00 - 16.04.2021 13:00 (CET)","569","n/e","n/e","108","176","43","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","319","86","189","248"
"BZN|DK2","16.04.2021 13:00 - 16.04.2021 14:00 (CET)","583","n/e","n/e","93","151","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","311","84","115","232"
"BZN|DK2","16.04.2021 14:00 - 16.04.2021 15:00 (CET)","437","n/e","n/e","75","121","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","303","82","82","221"
"BZN|DK2","16.04.2021 15:00 - 16.04.2021 16:00 (CET)","438","n/e","n/e","73","116","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","80","53","226"
"BZN|DK2","16.04.2021 16:00 - 16.04.2021 17:00 (CET)","405","n/e","n/e","70","110","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","231","80","34","226"
"BZN|DK2","16.04.2021 17:00 - 16.04.2021 18:00 (CET)","476","n/e","n/e","54","84","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","155","78","25","196"
"BZN|DK2","16.04.2021 18:00 - 16.04.2021 19:00 (CET)","446","n/e","n/e","78","123","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","73","81","74","167"
"BZN|DK2","16.04.2021 19:00 - 16.04.2021 20:00 (CET)","502","n/e","n/e","87","137","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","82","112","145"
"BZN|DK2","16.04.2021 20:00 - 16.04.2021 21:00 (CET)","430","n/e","n/e","83","131","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","81","150","133"
"BZN|DK2","16.04.2021 21:00 - 16.04.2021 22:00 (CET)","445","n/e","n/e","74","116","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","139","127"
"BZN|DK2","16.04.2021 22:00 - 16.04.2021 23:00 (CET)","483","n/e","n/e","75","119","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","136","105"
"BZN|DK2","16.04.2021 23:00 - 17.04.2021 00:00 (CET)","575","n/e","n/e","120","191","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","87","250","128"
"BZN|DK2","17.04.2021 00:00 - 17.04.2021 01:00 (CET)","606","n/e","n/e","118","188","44","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","85","286","138"
"BZN|DK2","17.04.2021 01:00 - 17.04.2021 02:00 (CET)","563","n/e","n/e","108","172","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","251","138"
"BZN|DK2","17.04.2021 02:00 - 17.04.2021 03:00 (CET)","586","n/e","n/e","93","148","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","189","129"
"BZN|DK2","17.04.2021 03:00 - 17.04.2021 04:00 (CET)","567","n/e","n/e","91","143","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","187","138"
"BZN|DK2","17.04.2021 04:00 - 17.04.2021 05:00 (CET)","610","n/e","n/e","116","168","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","84","212","149"
